2026-08-21T10:42:00Z R1 INFO Gi0/0 LINK_UP
2026-08-21T10:42:00Z SW1 INFO Gi0/1 LINK_UP
2026-08-21T10:42:01Z PC1 INFO ARP_RESOLUTION gateway=10.0.0.1 result=success
2026-08-21T10:42:01Z PC1 INFO ICMP_TEST gateway=10.0.0.1 result=success
2026-08-21T10:42:01Z PC2 INFO ARP_RESOLUTION gateway=10.0.0.1 result=success
2026-08-21T10:42:01Z PC2 INFO ICMP_TEST gateway=10.0.0.1 result=success
2026-08-21T10:42:02Z PC1 ERROR ARP_FAILURE target=10.0.0.1 reason=no_arp_reply
2026-08-21T10:42:03Z PC1 WARN arp_request_retry target=10.0.0.1 attempt=1
2026-08-21T10:42:03Z PC1 WARN connectivity_timeout destination=10.0.0.1 reason=arp_unresolved
2026-08-21T10:42:04Z PC1 WARN arp_request_retry target=10.0.0.1 attempt=2
2026-08-21T10:42:04Z PC1 WARN connectivity_timeout destination=10.0.0.1 reason=arp_unresolved
2026-08-21T10:42:05Z PC1 WARN arp_request_retry target=10.0.0.1 attempt=3
2026-08-21T10:42:05Z PC1 WARN connectivity_timeout destination=10.0.0.1 reason=arp_unresolved
2026-08-21T10:42:03Z PC2 INFO ICMP_TEST gateway=10.0.0.1 result=success
2026-08-21T10:42:04Z PC2 INFO ICMP_TEST gateway=10.0.0.1 result=success
2026-08-21T10:42:05Z PC2 INFO ICMP_TEST gateway=10.0.0.1 result=success
